arquivo,colunas_esperadas,colunas_ausentes,lista_colunas_ausentes
acidentes2017_todas_causas_tipos.csv,17,0,Nenhuma
acidentes2018_todas_causas_tipos.csv,17,0,Nenhuma
acidentes2019_todas_causas_tipos.csv,17,0,Nenhuma
acidentes2020_todas_causas_tipos.csv,17,0,Nenhuma
acidentes2021_todas_causas_tipos.csv,17,0,Nenhuma
acidentes2022_todas_causas_tipos.csv,17,0,Nenhuma
acidentes2023_todas_causas_tipos.csv,17,0,Nenhuma
acidentes2024_todas_causas_tipos.csv,17,0,Nenhuma
acidentes2025_todas_causas_tipos.csv,17,0,Nenhuma
